"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
1;"skeuomorphism";"skew-o-morf-ism";"the idea that interface objects should mimic their real-world counterparts in appearance and interaction";"n"
2;"natty";"NA-tee";"trimly neat and tidy, smart";"adj"
3;"diatribe";"die-uh-tribe";"a bitter and abusive speech or piece of writing; ironic or satirical criticism";"n"
4;"homunculus";"ho-mun-kyoo-luss";"a little man; a miniature adult that in theory is able to produce a mature individual simply by an increase in size";"n"
5;"-gram";"gram";"drawing, writing, record";"sfx"
6;"metastasize";"meh-tas-tih-size";"to spread or grow by or as if by metastasis";"v"
7;"hoodwink";"hood-wink";"to deceive by false appearance, dupe";"v"
8;"leonine";"lee-uh-nine";"of, relating to, suggestive of, or resembling a lion";"adj"
9;"polyglot";"pah-lee-glot";"one who speaks or writes several languages";"n"
10;"polyglot";"pah-lee-glot";"speaking or writing several languages, multilingual";"adj"
11;"anamorphic";"ann-uh-mor-fik";"marked by an intentional distortion that appears normal when viewed from a particular point or through a lens";"adj"
12;"avocation";"ah-vuh-kay-shun";"a subordinate occupation pursued in addition to one's vocation especially for enjoyment, hobby";"n"
13;"proclivity";"pro-kliv-it-ee";"an inclination or predisposition toward something esp. towards something objectionable";"n"
14;"proprioception";"pro-pree-uh-ception";"perception or awareness of the position and movement of the body";"n"
15;"corpulent";"core-pyoo-lint";"having a large bulky body; obese, fat";"adj"
16;"edify";"ED-ih-fy";"to instruct and improve especially in moral and religious knowledge; uplift, enlighten, inform";"v"
17;"garrote";"guh-ROT";"an implement such as a wire with a handle at each end for strangulation; a method of execution by strangulation";"n"
18;"quid pro quo";"kwid-pro-kwoh";"something given or received for something else; a favor or advantage granted or expected in return for something";"n"
19;"pension";"PEN-shun";"a fixed sum paid regularly to a person esp. one paid under given conditions to a person following retirement from service or to surviving dependents";"n"
20;"caliphate";"kay-luh-fate";"the office of a successor of muhammad as a civil and spiritual head of islam - used as a title; the land such a person rules over";"n"
21;"substrate";"sub-straight";"the base on which an organism lives; an underlying support, foundation";"n"
22;"aggregate";"ah-grih-guht";"to collect or gather into a mass or whole; to amount to a sum, total";"v"
23;"skive";"sky-ve";"to avoid work or school by staying away or by leaving without permission";"v"
24;"malapropism";"mal-uh-prop-ism";"the use of a word sounding somewhat like the one intended but ludicrously wrong in the context";"n"
25;"lithe";"lie-th";"easily bent or flexed; characterized by easy flexibility and grace";"adj"
26;"abecedarian";"a-b-c-dairy-in";"rudimentary; of or relating to the alphabet";"adj"
27;"effuse";"ih-fyooz";"to flow out, emanate; to make a great or excessive display of enthusiasm";"v"
28;"effuse";"ih-fyoose";"spread out flat without definite form, diffuse";"adj"
29;"magniloquent";"mag-nil-o-kwint";"speaking in or characterized by a high-flown or bombastic style";"adj"
30;"punitive";"pyoo-nih-tiv";"inflicting, involving, or aiming at punishment";"adj"
31;"iridescent";"ear-ih-des-unt";"exhibiting a lustrous rainbowlike play of color";"adj"
32;"couture";"coo-tour";"the business of designing, making, and selling fashionable custom-made clothing";"n"
33;"endemic";"en-dem-ik";"characteristic of or prevalent in a particular field, area, or environment";"adj"
34;"ameliorate";"uh-meel-yur-ate";"to make better or more tolerable";"v"
35;"magnum opus";"mag-num-oh-pus";"the greatest achievement of an artist or writer";"n"
36;"hamartia";"HA-mar-tea-uh";"tragic flaw";"n"
37;"bathetic";"buh-thet-ik";"producing an unintentional effect of anticlimax";"adj"
38;"liminal";"lim-ih-nul";"situated at a sensory threshold; barely perceptible or capable of eliciting a response";"adj"
39;"fantods";"fan-tods";"a state of irritability and tension";"n"
40;"-geusia";"gyoo-sia";"suffix meaning sense of taste";"sfx"
41;"-monger";"mahn-gur";"a person who promotes a specified activity, situation, or feeling, especially one that is undesirable or discreditable";"sfx"
42;"-osmia";"oz-me-uh";"suffix meaning sense of smell";"sfx"
43;"abandon";"uh-ban-dun";"a thorough yielding to natural impulses; enthusiasm, exuberance";"n"
44;"abdicate";"ab-dih-kate";"to renounce a throne, high office, dignity, or function";"v"
45;"abeyance";"uh-bay-unts";"a state of temporary activity, suspension; a lapse in succession during which there is no person in whom a title is vested";"n"
46;"abject";"AB-ject";"sunk to or existing in a low state or condition, very bad or severe; cast down in spirit, servile, spiritless; showing hopelessness or resignation; expressing or offered in a humble and often ingratiating spirit";"adj"
47;"abjure";"ab-joor";"to renounce upon oath; to reject solemnly; to abstain from, avoid";"v"
48;"ablate";"uh-blate";"to remove or destroy especially by cutting, abrading, or evaporating";"v"
49;"abominable";"uh-bomb-in-uh-bull";"worthy of or causing disgust or hatred, detestable; very bad or unpleasant";"adj"
50;"abrade";"uh-brade";"to rub or wear away especially by friction, erode; to irritate or roughen by rubbing; to wear down in spirit, irritate, weary";"v"
51;"abridged";"uh-bridged";"shortened or condensed esp. by the omission of words or passages";"adj"
52;"abscess";"ab-sess";"a localized collection of pus surrounded by inflamed tissue";"n"
53;"abscission";"ab-sih-zhen";"the act or process of cutting off, removal";"n"
54;"abscond";"ab-skond";"to depart secretly and hide oneself";"v"
55;"abstruse";"ub-stroose";"difficult to comprehend";"adj"
56;"accentuate";"ack-sen-chu-ate";"accent, emphasize, intensify";"v"
57;"accoutrement";"uh-koot-er-ment";"an accessory item of clothing or equipment; equipment, trappings";"n"
